"Province","District","Market","Commodity","Average Price","Date"
"Kigali City","KICUKIRO","Ziniya","Inyama - Inkoko - rwanda","6000","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","inyama - inkoko - pondezi","3500","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","igi - irinyaRwanda","250","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Igi- Pondeze","160","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibigori","500","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ifu - Ibigori - Mugurusu","950","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ifu - Ibigori - MINIMEX","1100","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ifu - Ibigori - Gashumba","1100","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri-Tz","1700","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri - RW - Kigori","1200","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri Thailand","1600","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri Pakistani","1500","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Umuceri - Umuhinde","1500","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","inshyushyu","650","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","IFI - Tilapia","4600","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Imyumbati","600","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibijumba","500","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Igitoki","500","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibirayi - Umweru","600","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibirayi- Kinigi Grade 1","700","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibirayi- Kinigi Grade 2","650","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo Ibinyarwanda","700","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo Shyushya","800","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo/Mutiki","1000","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo Colta","1200","03/13/2024"
"Kigali City","KICUKIRO","Ziniya","Ibishyimbo - Injyamane","1300","03/13/2024"
"Western","NGORORERO","Kabaya","inshyushyu","500","03/13/2024"
"Western","NGORORERO","Kabaya","Ibijumba","350","03/13/2024"
"Western","NGORORERO","Kabaya","Imyumbati","350","03/13/2024"
"Western","NGORORERO","Kabaya","Igitoki","500","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri - Rw - Luck rice","1400","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri Pakistani","1500","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri Thailand","1500","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri - Tz No 2","1300","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri - RW - Kigori","1200","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri-Tz","1700","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri-Asia","1400","03/13/2024"
"Western","NGORORERO","Kabaya","Umuceri - Umuhinde","1500","03/13/2024"
"Kigali City","GASABO","Kimironko","Igitoki","470","03/13/2024"
"Kigali City","GASABO","Kimironko","Umuceri Pakistani","1500","03/13/2024"
"Kigali City","GASABO","Kimironko","Umuceri Thailand","1767","03/13/2024"
