"Province","District","Market","Commodity","Average Price","Date"
"Northern","GAKENKE","Rushashi","Ibijumba","250","05/23/2024"
"Northern","GAKENKE","Rushashi","ibitunguru-bitukura","1200","05/23/2024"
"Northern","GAKENKE","Rushashi","Igi- Pondeze","150","05/23/2024"
"Northern","GAKENKE","Rushashi","igi - irinyaRwanda","200","05/23/2024"
"Northern","GAKENKE","Rushashi","Ibishyimbo Kiryumukwe","600","05/23/2024"
"Northern","GAKENKE","Rushashi","Amavuta ubuto","3000","05/23/2024"
"Northern","GAKENKE","Rushashi","Ibishyimbo Ibinyarwanda","500","05/23/2024"
"Northern","GAKENKE","Rushashi","Ibishyimbo - Mushingiriro","600","05/23/2024"
"Northern","GAKENKE","Rushashi","Amatunda","1900","05/23/2024"
"Northern","GAKENKE","Rushashi","Ibinyomoro","1300","05/23/2024"
"Northern","GAKENKE","Rushashi","Igitoki","300","05/23/2024"
"Northern","GAKENKE","Rushashi","inshyushyu","350","05/23/2024"
"Northern","GAKENKE","Rushashi","Umuceri - RW - Kigori","1000","05/23/2024"
"Northern","GAKENKE","Rushashi","Inyama-inka- Iroti","5000","05/23/2024"
"Northern","GAKENKE","Rushashi","inyama-inka-imvange","4000","05/23/2024"
"Northern","GAKENKE","Rushashi","Umuceri - Tz No 2","1350","05/23/2024"
"Northern","GAKENKE","Rushashi","Inyanya","900","05/23/2024"
"Northern","GAKENKE","Rushashi","Amakara","11000","05/23/2024"
"Northern","GAKENKE","Rushashi","Amashu","300","05/23/2024"
"Northern","GAKENKE","Rushashi","Ibigori","350","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Inyama-ingurube","3500","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Inyama-ihene","6000","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Inyama - Inkoko - rwanda","6000","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","inyama - inkoko - pondezi","4000","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","inyama-inka-imvange","4400","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Inyama-inka- Iroti","5400","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - Rw - Gikonko","1200","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - RW - Kigori","1100","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - Rw - Luck rice","1300","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - Luck long grain","1200","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri -Luck Basmati","1700","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - luck Kema","1400","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri-Tz1","1633","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - Tz No 2","1500","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri - Umuhinde","1333","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Umuceri Thailand","1667","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ifu - Ibigori - Mugurusu","933","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ifu - Ibigori - MINIMEX","1033","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Imiteja","800","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Karoti","800","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Inyanya","800","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Avoka","833","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Amacunga","800","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Mandarine","1333","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Inanasi","767","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibinyomoro","1167","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Amatunda","2167","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Amavuta - Amamesa","2400","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibitonore","1333","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Amashaza","2200","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","IFI - Tomson","2500","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","IFI - Tilapia Nto","3500","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","","4100","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","IFI - Tilapia Nini","4600","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","igi - irinyaRwanda","250","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Igi- Pondeze","150","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Amasaka","600","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibigori","350","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ingano","850","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Soya","767","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Amateke","800","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Igitoki","367","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Imyumbati","533","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibijumba","417","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibirayi - Umweru","560","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","ibirayi - Kirundo","580","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibirayi- Kinigi","700","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibirayi- Kinigi Grade 1","833","05/23/2024"
"Kigali City","NYARUGENGE","Nyabugogo","Ibirayi- Kinigi Grade 2","750","05/23/2024"
"Northern","GICUMBI","Byumba","inshyushyu","400","05/23/2024"
"Northern","GICUMBI","Byumba","Avoka","450","05/23/2024"
"Northern","GICUMBI","Byumba","","4500","05/23/2024"
"Northern","GICUMBI","Byumba","IFI - Tilapia Nini","5000","05/23/2024"
"Northern","GICUMBI","Byumba","Inyama-inka- Iroti","5500","05/23/2024"
"Northern","GICUMBI","Byumba","inyama-inka-imvange","4500","05/23/2024"
"Northern","GICUMBI","Byumba","Inyanya","500","05/23/2024"
"Northern","GICUMBI","Byumba","Karoti","600","05/23/2024"
"Northern","GICUMBI","Byumba","igi - irinyaRwanda","200","05/23/2024"
"Northern","GICUMBI","Byumba","Igi- Pondeze","180","05/23/2024"
"Northern","GICUMBI","Byumba","Ibinyomoro","1400","05/23/2024"
"Northern","GICUMBI","Byumba","Amatunda","1800","05/23/2024"
"Northern","GICUMBI","Byumba","Ibijumba","250","05/23/2024"
"Northern","GICUMBI","Byumba","Imyumbati","400","05/23/2024"
"Northern","GICUMBI","Byumba","Igitoki","300","05/23/2024"
"Northern","GICUMBI","Byumba","ibirayi - Kirundo","600","05/23/2024"
"Northern","GICUMBI","Byumba","Ibirayi - Kuruseke","650","05/23/2024"
"Northern","GICUMBI","Byumba","Ibirayi - Umweru","650","05/23/2024"
"Northern","GICUMBI","Byumba","Ibirayi - Rutuku","550","05/23/2024"
"Northern","GICUMBI","Byumba","Umuceri-Tz1","2000","05/23/2024"
"Northern","GICUMBI","Byumba","Umuceri - Tz No 2","1200","05/23/2024"
"Northern","GICUMBI","Byumba","Umuceri - Umuhinde","1300","05/23/2024"
"Northern","GICUMBI","Byumba","Umuceri Thailand","1500","05/23/2024"
"Northern","GICUMBI","Byumba","Ingano","1000","05/23/2024"
"Northern","GICUMBI","Byumba","Soya","900","05/23/2024"
"Northern","GICUMBI","Byumba","Ibigori","300","05/23/2024"
"Northern","GICUMBI","Byumba","Ibishyimbo Shyushya","650","05/23/2024"
"Northern","GICUMBI","Byumba","Ibishyimbo Ibinyarwanda","600","05/23/2024"
"Northern","GICUMBI","Byumba","Ibishyimbo - Mushingiriro","650","05/23/2024"
"Eastern","NYAGATARE","Nyagatare","Ibitonore","1500","05/23/2024"
"Eastern","NYAGATARE","Nyagatare","Inkoko","3000","05/23/2024"
